id	name_abbr	name	division	taxonomy	ncbi_taxon_id	genome_assembly	genome_accession	gff	ensembl_db
1	aqu	Amphimedon queenslandica	AQU	Metazoa;Porifera;	400682	NULL	NULL	0	NULL
2	nve	Nematostella vectensis	NVE	Metazoa;Cnidaria;	45351	JGI1.0	NULL	0	NULL
3	hma	Hydra magnipapillata	HMA	Metazoa;Cnidaria;	6085	NULL	NULL	0	NULL
4	sko	Saccoglossus kowalevskii	SKO	Metazoa;Bilateria;Deuterostoma;Hemichordata;	10224	Skow_1.1	NCBI_Assembly:GCA_000003605.1	0	NULL
5	spu	Strongylocentrotus purpuratus	SPU	Metazoa;Bilateria;Deuterostoma;Echinodermata;	7668	Spur_4.2	NCBI_Assembly:GCA_000002235.3	0	NULL
6	cin	Ciona intestinalis	CIN	Metazoa;Bilateria;Deuterostoma;Chordata;Urochordata;	7719	JGI2	NULL	0	NULL
7	csa	Ciona savignyi	CSA	Metazoa;Bilateria;Deuterostoma;Chordata;Urochordata;	51511	CSAV2.0	NULL	0	NULL
8	odi	Oikopleura dioica	ODI	Metazoa;Bilateria;Deuterostoma;Chordata;Urochordata;	34765	NULL	NULL	0	NULL
9	bfl	Branchiostoma floridae	BFL	Metazoa;Bilateria;Deuterostoma;Chordata;Cephalochordata;	7739	JGI2	NCBI_Assembly:GCF_000003815.1	0	NULL
10	xla	Xenopus laevis	XLA	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Amphibia;	8355	JGIv8.0	NULL	0	NULL
11	xtr	Xenopus tropicalis	XTR	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Amphibia;	8364	Xenopus_tropicalis_v9.1	NCBI_Assembly:GCA_000004195.3	1	NULL
12	gga	Gallus gallus	GGA	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Aves;	9031	Gallus_gallus-5.0	NCBI_Assembly:GCA_000002315.3	1	NULL
13	cfa	Canis lupus familiaris	CFA	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Carnivora;	9615	CanFam3.1	NCBI_Assembly:GCA_000002285.2	1	NULL
14	mdo	Monodelphis domestica	MDO	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Metatheria;	13616	MonDom5	NCBI_Assembly:GCF_000002295.2	1	NULL
15	age	Ateles geoffroyi	AGE	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Primates;Atelidae;	9509	NULL	NULL	0	NULL
16	lla	Lagothrix lagotricha	LLA	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Primates;Atelidae;	9519	NULL	NULL	0	NULL
17	sla	Saguinus labiatus	SLA	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Primates;Cebidae;	78454	NULL	NULL	0	NULL
18	mml	Macaca mulatta	MML	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Primates;Cercopithecidae;	9544	Mmul_8.0.1	NCBI_Assembly:GCA_000772875.3	1	NULL
19	mne	Macaca nemestrina	MNE	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Primates;Cercopithecidae;	9545	NULL	NULL	0	NULL
20	pbi	Pygathrix bieti	PBI	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Primates;Cercopithecidae;	61621	NULL	NULL	0	NULL
21	ggo	Gorilla gorilla	GGO	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Primates;Hominidae;	9593	GorGor4	NCBI_Assembly:GCA_000151905.3	0	NULL
22	hsa	Homo sapiens	HSA	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Primates;Hominidae;	9606	GRCh38	NCBI_Assembly:GCA_000001405.15	1	NULL
23	ppa	Pan paniscus	PPA	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Primates;Hominidae;	9597	panpan1.1	NCBI_Assembly:GCA_000258655.2	0	NULL
24	ppy	Pongo pygmaeus	PPY	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Primates;Hominidae;	9600	P_pygmaeus_2.0.2	NCBI_Assembly:GCF_000001545.4	0	NULL
